Category,Data.Carbohydrate,Data.Fiber,Data.Kilocalories,Data.Protein,Data.Sugar Total,Data.Water,Data.Fat.Saturated Fat,Data.Fat.Total Lipid
BUTTER,-0.792168267,-0.4573698,2.9034062050724847,-0.960102296,-0.454869234,-1.279326126,7.230453095,4.309676908055634
BUTTER,-0.792168267,-0.4573698,2.9034062050724847,-0.960102296,-0.454869234,-1.279326126,7.0981592416995305,4.309676908055634
BUTTER OIL,-0.794379818,-0.4573698,3.832840721185569,-1.014046322,-0.459118213,-1.787865492,8.819183376743375,5.427487243929455
CHEESE,-0.708129334,-0.4573698,0.7756441681846677,0.9847217803812882,-0.423710056,-0.415817823,2.3090916442272857,1.122974279328798
CHEESE,-0.691542702,-0.4573698,0.8808631700087908,1.1588568801764951,-0.423001894,-0.458114763,2.3233896147414232,1.180173066248852
CHEESE,-0.777793187,-0.4573698,0.6645796662592047,0.9232066636058076,-0.427250873,-0.220275814,2.1196059086767653,1.0584735196104393
CHEESE,-0.777424595,-0.4573698,0.46583266281363955,0.8332999544724129,-0.426542708,-0.11030377,1.7958697552461307,0.8503672948587538
CHEESE,-0.681590723,-0.4573698,0.9100906705154914,1.3424558440910068,-0.459118213,-0.51765584,2.2962987232409517,1.150965175055633
CHEESE,-0.747200066,-0.4573698,1.0679191732516755,1.3159570245569532,-0.422293731,-0.599972193,2.6737651448141886,1.390713281933306
CHEESE,-0.618192931,-0.4573698,0.9743911716302329,1.1711599035315914,-0.459118213,-0.570689696,2.4303986361682863,1.2361548577025219
CHEESE,-0.699651722,-0.4573698,1.015309672339614,1.2080689735968797,-0.422293731,-0.552794837,2.5422238160841215,1.3280380154145233
CHEESE,-0.669795785,-0.4573698,-0.714958358,0.011836548916763334,-0.270038649,0.80038189,-0.24211781,-0.364194181
CHEESE,-0.624458992,-0.409301485,-0.720803858,-0.028858067,-0.290575377,0.7955014737112378,-0.152868373,-0.391576579
CHEESE,-0.54889767,-0.4573698,-0.86694136,-0.061981591,-0.32810803,0.8400759415046448,-0.475249982,-0.608201772
CHEESE,-0.659475214,-0.4573698,-0.785104359,0.079029984,-0.199222334,0.8296643869835567,-0.35334097,-0.476766261
CHEESE,-0.694122845,-0.4573698,-0.86694136,0.1320276232319333,-0.266497836,0.8879040200858916,-0.403609625,-0.563781437
CHEESE,-0.64436295,-0.4573698,0.711343667,-0.479337999,-0.231797842,-0.024408445,2.4028562298094736,1.4576480325844332
CHEESE,-0.741671189,-0.4573698,0.7990261685900282,1.3244745022643276,-0.357850887,-0.443473514,2.1439877110271897,1.0657754924087444
CHEESE,-0.643625766,-0.4573698,0.25539465916539394,0.3042699502032793,-0.169479477,0.000969719,1.7487617050258661,0.6690349703675188
CHEESE,-0.737248087,-0.4573698,0.9860821718329134,1.3822040733920866,-0.349352929,-0.561904947,2.3884077543425555,1.2690137352948931
CHEESE,0.7776642703326299,-0.4573698,1.4361856796361052,-0.127282254,-0.459118213,-1.358388868,2.382989576042461,1.1698286047845872
CHEESE,-0.712552436,-0.4573698,0.7931806684886884,1.3197425702046754,-0.301905993,-0.446727125,2.1503089190439666,1.0438695740138297
CHEESE,-0.781110513,-0.4573698,1.1263741742650772,1.780632752814815,-0.433624339,-0.715800737,2.345814852705703,1.3420334632779412
CHEESE,-0.776318819,-0.4573698,0.6236611655498236,0.8569596147706746,-0.424418218,-0.220275814,2.0196706200305816,1.0323081170831805
CHEESE,-0.769315575,-0.4573698,0.8925541702114708,1.2762087952558738,-0.423710056,-0.461368374,2.3688421104811033,1.2166829302403759
CHEESE,-0.713658211,-0.4573698,0.46583266281363955,1.057593534099935,-0.386177412,-0.168543403,1.4787558197378332,0.7341442278190696
CHEESE,-0.70333764,-0.4573698,0.5710516646377624,1.0036495086198978,-0.387593736,-0.221577259,1.8413222509858107,0.8734902087200521
CHEESE,-0.692279886,-0.4573698,0.19693965815199244,1.2553882941934036,-0.379095778,-0.045882276,1.0215217731909862,0.34288018537657283
CHEESE,-0.653209153,-0.4573698,0.47752366301631977,1.4162739842215835,-0.416628423,-0.284046586,1.406212432497682,0.5929727537185109
CHEESE,-0.753097535,-0.4573698,0.8633266697047701,1.1749454491793132,-0.379803941,-0.436640932,2.375915843261782,1.2020789846437663
CHEESE,-0.662055357,-0.4573698,0.19109415805065222,-0.174601574,-0.233214167,0.2576796104812995,1.4242730268313295,0.7603096303463285
CHEESE,-0.644731542,-0.4573698,1.2315931760891998,2.5992569991346732,-0.395383532,-1.11762167,2.103200868823702,1.1150638087973013
CHEESE,-0.675693254,-0.4573698,1.003618672136934,2.342786281501515,-0.402465161,-0.846921252,1.969100955896368,0.9459014389699075
CHEESE,-0.773370085,-0.4573698,0.7697986680833275,1.2099617464207408,-0.418752915,-0.316908055,2.0113928476276595,1.0901154017364267
CHEESE,-0.71550117,-0.4573698,0.7639531679819873,1.3803113005682255,-0.419461077,-0.46332054,2.0696382643536735,0.9939727598920808
CHEESE,-0.682327907,-0.4573698,-0.27070035,0.025085958683789933,-0.439997808,0.5371647771567483,0.7477532640834432,0.1639818518181062
CHEESE,-0.604923626,-0.4573698,-0.481138354,0.037388982,-0.437165156,0.6253376295072102,0.24085258311906488,-0.144526499
CHEESE,-0.66058099,-0.4573698,0.9743911716302329,1.9689636487889788,-0.407422302,-0.789983063,2.075206947606548,1.0134446873542267
CHEESE,-0.720661455,-0.4573698,0.8691721698061103,0.9979711901483148,-0.459118213,-0.514402229,2.3984915861788423,1.238588849
CHEESE,-0.596077422,-0.4573698,0.9334726709208518,1.5080734661788393,-0.365640675,-0.587933833,2.175142236252732,1.0657754924087444
CHEESE,-0.725084557,-0.4573698,0.6996526668672458,1.2695840903723605,-0.459118213,-0.401176574,2.024035263661213,0.9550289049677886
CHEESE,-0.735405128,-0.4573698,0.9042451704141512,1.0557007612760734,-0.423001894,-0.521560173,2.463359220827193,1.275707210360006
CHEESE,-0.730613434,-0.433335643,0.9042451704141512,1.0538079884522127,-0.414503936,-0.524163062,2.4586935672910006,1.2726647216940457
CHEESE,-0.716975537,-0.4573698,0.6645796662592047,1.2998684555541355,-0.372014145,-0.419071433,1.9141666481315234,0.8960046248481585
CHEESE FD,-0.487711429,-0.4573698,0.6470431659551843,0.8200505447053863,-0.459118213,-0.392717186,1.8103182307130488,0.86253725
CHEESE FD,-0.505772428,-0.4573698,0.6411976658538441,0.7008058568021467,0.06704699,-0.389788936,1.7410859524340658,0.9063490863124234
CHEESE FD,-0.628513502,-0.4573698,0.600279165,1.0339338738016732,-0.459118213,-0.374822327,1.8301848844800612,0.843065322
CHEESE SPRD,-0.472599164,-0.4573698,0.40737766180023804,0.512474961,0.059257219696538466,-0.245328617,1.5050941864744027,0.6659924817015584
CREAM,-0.635885338,-0.4573698,-0.527902354,-0.760414763,-0.447787603,0.8257600540381487,0.5766291327721316,0.073924187
CREAM,-0.659475214,-0.4573698,-0.147944848,-0.78502081,-0.449203929,0.6038637983074666,1.3083842131904235,0.5491609169286823
CREAM,-0.685276641,-0.4573698,0.41906866200291826,-0.83517929,-0.451328419,0.2703686925538753,2.4096289526845913,1.2550182874314757
CREAM,-0.691542702,-0.4573698,0.7288801673739465,-0.846535927,-0.451328419,0.081984628,2.965744753,1.6255934069454425
CREAM,-0.334008642,-0.4573698,0.21447615845601287,-0.737701489,0.10741230124206497,0.1997653384577489,1.5809486826757233,0.7262337572875727
CREAM,-0.637359705,-0.4573698,-0.498674854,-0.762307536,-0.447787603,0.8117695276504373,0.6235866780396155,0.10434907396528403
CREAM,-0.688225376,-0.4573698,-0.159635848,-0.844643154,-0.211261113,0.6269644349011301,1.2311751724140796,0.574717822
SOUR DRSNG,-0.621878849,-0.4573698,-0.24731835,-0.732969557,-0.127697874,0.6377013505010021,1.4968164140714812,0.38243253803405686
MILK,-0.619667298,-0.4573698,-0.919550861,-0.725398466,-0.459118213,1.0567664199747833,-0.385097515,-0.41530799
MILK,-0.619667298,-0.4573698,-0.919550861,-0.725398466,-0.1234489,1.058718586447487,-0.033969461,-0.418958977
CREAM SUB,-0.374922333,-0.4573698,-0.492829354,-0.9459065,0.34677145137546556,0.7183908980394318,-0.209157226,-0.019175966
CREAM SUB,-0.374922333,-0.4573698,-0.492829354,-0.9459065,-0.459118213,0.7183908980394318,0.8996127614388643,-0.019175966
CREAM SUBSTITUTE,1.228452059,-0.4573698,1.8979801876419775,-0.58722605,3.4272811915327552,-1.723769359,4.394488269952472,1.5331017515002485
DESSERT TOPPING,1.1422015748319203,-0.4573698,2.0850361908848627,-0.576815799,3.261571005441658,-1.747846079,5.0263080617245794,1.803274745037525
DESSERT TOPPING,-0.185097549,-0.4573698,-0.188863349,-0.699846033,0.7114755111085642,0.3728574323708329,1.1073095962758126,0.12929748102615857
DESSERT TOPPING,-0.202052772,-0.4573698,0.25539465916539394,-0.947799273,0.6788999357129426,0.1685306748944857,2.345664347752922,0.7311017391531093
DESSERT TOPPING,0.055224314,-0.4573698,0.5710516646377624,-0.92224684,1.1731977776794382,-0.162036181,2.7777640671854433,0.9142595568439204
SOUR CRM,-0.550003445,-0.4573698,-0.071953347,-0.813412402,0.010393958720231244,0.5192699178236289,2.176948295686097,0.5619393693257156
MILK SUBSTITUTES,-0.567327261,-0.4573698,-0.931241861,-0.874927519,-0.022889728,1.073359834992767,-0.38524802,-0.418350479
MILK SUBSTITUTES,-0.567327261,-0.4573698,-0.931241861,-0.874927519,-0.459118213,1.073359834992767,-0.043601778,-0.418350479
MILK,-0.627776318,-0.4573698,-0.937087362,-0.735808717,-0.086624384,1.0779148900957425,-0.219993582,-0.428086443
